previous_quantile,n,previous_mean,next_mean,next_median,target_q_now,source,model_tag
2,1474,0.09562910096901545,1.3496339650156028,0.7342032369183438,0,AR(1)-GRW-Y,ar1_y
3,1473,0.2929920245195541,1.4079574350228121,0.7446116785812964,0,AR(1)-GRW-Y,ar1_y
4,1474,0.5022251179286972,1.403158816383465,0.7643796457209245,0,AR(1)-GRW-Y,ar1_y
5,1473,0.7479852905856351,1.4664215033727679,0.8630498980456203,0,AR(1)-GRW-Y,ar1_y
6,1474,1.048950085881457,1.4838090408766778,0.8147629960759464,0,AR(1)-GRW-Y,ar1_y
7,1473,1.4490631499147197,1.4827082438783201,0.8490847744520322,0,AR(1)-GRW-Y,ar1_y
8,1474,2.007043949636074,1.5845853798541816,0.8445536898839948,0,AR(1)-GRW-Y,ar1_y
9,1473,2.9391652122785437,1.6424557877250392,0.938707971102571,0,AR(1)-GRW-Y,ar1_y
10,1474,6.306399040448391,1.6566177403563387,0.995180507095271,0,AR(1)-GRW-Y,ar1_y
1,1422,5.102541466190353e-05,1.3103284298229998,0.7388036473509344,0,AR(1)-GRW-S,ar1_s
2,1422,0.10163610254018478,1.5603736511245085,0.7561898339204762,0,AR(1)-GRW-S,ar1_s
3,1421,0.29932433898132327,1.4057439367019955,0.7938692578803359,0,AR(1)-GRW-S,ar1_s
4,1422,0.5105499095769694,1.5173038921458806,0.8477918813936804,0,AR(1)-GRW-S,ar1_s
5,1422,0.7529536087727571,1.490467560335737,0.8672312050889542,0,AR(1)-GRW-S,ar1_s
6,1421,1.0559851231964472,1.4577018117748402,0.8416625740583206,0,AR(1)-GRW-S,ar1_s
7,1422,1.4532509445939727,1.5715074982282682,0.8397516825246166,0,AR(1)-GRW-S,ar1_s
8,1421,2.031615354119878,1.6496806255409606,1.0024379934031493,0,AR(1)-GRW-S,ar1_s
9,1422,2.993586715581381,1.664115877575014,0.9123329808432751,0,AR(1)-GRW-S,ar1_s
10,1422,6.4360815000664955,1.6938168874923754,0.9964669567856963,0,AR(1)-GRW-S,ar1_s
1,1417,0.00010401119627347947,1.3717728119892136,0.700080606638257,0,AR(1)-GRW-S-G,ar1_s_globalinit
2,1417,0.10386684383478992,1.5115137568453931,0.7970224005407642,0,AR(1)-GRW-S-G,ar1_s_globalinit
3,1416,0.29760150805595575,1.3653464168881646,0.7493591403118993,0,AR(1)-GRW-S-G,ar1_s_globalinit
4,1417,0.5065227677316076,1.4922107636487927,0.8304664517107716,0,AR(1)-GRW-S-G,ar1_s_globalinit
5,1417,0.7575967903083599,1.4923809755928032,0.8658768223542934,0,AR(1)-GRW-S-G,ar1_s_globalinit
6,1416,1.0742822630011708,1.5036490630854085,0.9318487242289173,0,AR(1)-GRW-S-G,ar1_s_globalinit
7,1417,1.4858886749305444,1.5517260703784024,0.8498477828874291,0,AR(1)-GRW-S-G,ar1_s_globalinit
8,1416,2.0685626197940614,1.539253692713493,0.9183089675241992,0,AR(1)-GRW-S-G,ar1_s_globalinit
9,1417,3.04952736502637,1.6933532551474595,0.9905894789696164,0,AR(1)-GRW-S-G,ar1_s_globalinit
10,1417,6.320099149874646,1.7992233353628668,1.0185830815120591,0,AR(1)-GRW-S-G,ar1_s_globalinit
1,13045,0.048169199557347435,1.9831451223627456,0.6476275181535449,0,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
2,2608,1.8454626264312386,2.174731922143491,0.6498987864266341,0,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
3,2609,3.393835113571582,2.3105168846425035,0.5931118330963888,0,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
4,2609,5.268561853253776,2.4358697177509705,0.6427788270035725,0,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
5,2609,8.150877277615072,2.2334525298337913,0.5945194320073632,0,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
6,2609,17.65136320566166,2.185914145076038,0.4950632901915575,0,Hurdle-AR(1)-GRW-S,hurdle_ar1_s
1,13971,0.03382796609900162,1.9942798782019007,0.5098300298035031,0,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
2,2794,1.133934251494786,2.294349628816577,0.662843984362473,0,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
3,2794,1.9857580797026735,2.1516823767880826,0.5268111467369236,0,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
4,2794,2.865676582629032,2.298882709602116,0.6315134077345088,0,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
5,2794,4.114869815442762,2.3395603470910253,0.5985693058481671,0,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
6,2794,7.098413682343951,2.224501805951223,0.4877164980825588,0,Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p
1,14631,0.028118613734830246,1.947518353008532,0.42129114305430465,0,Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p
