source,model_tag,stage,productivity,dropout,n
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.2589168562934585,0.6494372554160404,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.329035747710705,0.6542681376760493,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.399154639127951,0.659067396310174,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.469273530545197,0.663834264263103,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.539392421962443,0.6685679993736552,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.60951131337969,0.6732678846679948,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.679630204796935,0.6779332286151855,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.749749096214181,0.6825633653453619,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.819867987631428,0.6871576548308821,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.889986879048673,0.6917154830309029,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,5.96010577046592,0.6962362619999016,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.030224661883166,0.7007194299607361,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.100343553300412,0.7051644513429083,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.170462444717658,0.7095708167867597,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.2405813361349045,0.7139380431143927,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.31070022755215,0.7182656732681622,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.380819118969397,0.7225532762176412,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.4509380103866425,0.7268004468360101,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.521056901803889,0.7310068057468617,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.591175793221135,0.7351719991424582,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.661294684638381,0.7392956985745072,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.731413576055627,0.7433776007185555,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.801532467472873,0.7474174271131324,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.871651358890119,0.7514149238747845,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,6.941770250307365,0.755369861390174,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.011889141724612,0.7592820339864226,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.082008033141857,0.763151259580887,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.152126924559104,0.7669773793115716,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.22224581597635,0.7707602571493732,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.292364707393596,0.7744997794933615,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.362483598810842,0.7781958547502883,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.4326024902280885,0.7818484128995181,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.502721381645334,0.7854574050445517,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.572840273062581,0.7890228029523141,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.6429591644798265,0.7925445985813501,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.713078055897073,0.79602280360006,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.783196947314319,0.7994574488960835,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.8533158387315645,0.8028485840779178,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.923434730148811,0.8061962769698294,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,7.993553621566057,0.8095006131010959,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.063672512983302,0.8127616951905791,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.133791404400549,0.8159796426276091,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.203910295817796,0.8191545909501187,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.274029187235042,0.8222866913209419,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.344148078652287,0.8253761100031557,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.414266970069534,0.8284230278353071,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.48438586148678,0.8314276397073339,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.554504752904027,0.8343901540379564,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.624623644321272,0.837310792254275,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.694742535738518,0.8401897882742787,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.764861427155765,0.8430273879929285,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.834980318573011,0.8458238487724494,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.905099209990256,0.8485794389374219,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,8.975218101407503,0.8512944372752388,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,9.04533699282475,0.8539691325424421,
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,0,9.115455884241994,0.8566038229774394,
