source,model_tag,top_fraction,year,overlap,continuous_survival,jaccard,reference_group_n
Empirical,empirical,0.25,18,0.36923076923076925,0.046153846153846156,0.22857142857142856,130
Empirical,empirical,0.25,19,0.38461538461538464,0.046153846153846156,0.2403846153846154,130
Empirical,empirical,0.25,20,0.3923076923076923,0.046153846153846156,0.24401913875598086,130
AR(1)-GRW-S,ar1_s,0.25,0,1.0,1.0,1.0,2500
AR(1)-GRW-S,ar1_s,0.25,1,0.412,0.412,0.2594458438287154,2500
AR(1)-GRW-S,ar1_s,0.25,2,0.3192,0.2028,0.18990956687291766,2500
AR(1)-GRW-S,ar1_s,0.25,3,0.2784,0.0968,0.16171003717472118,2500
AR(1)-GRW-S,ar1_s,0.25,4,0.262,0.05,0.15074798619102417,2500
AR(1)-GRW-S,ar1_s,0.25,5,0.2544,0.0228,0.1457378551787351,2500
AR(1)-GRW-S,ar1_s,0.25,6,0.2492,0.014,0.14233493260223898,2500
AR(1)-GRW-S,ar1_s,0.25,7,0.2512,0.0072,0.14364135407136322,2500
AR(1)-GRW-S,ar1_s,0.25,8,0.2456,0.004,0.13999088007295943,2500
AR(1)-GRW-S,ar1_s,0.25,9,0.246,0.0028,0.1402508551881414,2500
AR(1)-GRW-S,ar1_s,0.25,10,0.2556,0.002,0.1465260261407934,2500
AR(1)-GRW-S,ar1_s,0.25,11,0.2528,0.0016,0.1446886446886447,2500
AR(1)-GRW-S,ar1_s,0.25,12,0.2508,0.0016,0.14337983077978506,2500
AR(1)-GRW-S,ar1_s,0.25,13,0.2404,0.0016,0.13662195953625825,2500
AR(1)-GRW-S,ar1_s,0.25,14,0.2476,0.0004,0.1412919424788861,2500
AR(1)-GRW-S,ar1_s,0.25,15,0.2584,0.0,0.14836931557188793,2500
AR(1)-GRW-S,ar1_s,0.25,16,0.252,0.0,0.14416475972540047,2500
AR(1)-GRW-S,ar1_s,0.25,17,0.2396,0.0,0.1361054305839582,2500
AR(1)-GRW-S,ar1_s,0.25,18,0.2456,0.0,0.13999088007295943,2500
AR(1)-GRW-S,ar1_s,0.25,19,0.2524,0.0,0.14442664225223162,2500
AR(1)-GRW-S,ar1_s,0.25,20,0.2612,0.0,0.15021854152288935,2500
