starting_decile,n,median_signed,median_absolute,signed_q10,signed_q90,absolute_q10,absolute_q90,source,model_tag,reference_year,target_year
2,56,0.15686274509803924,0.15686274509803924,-0.08186274509803922,0.4848039215686275,0.04068627450980393,0.4848039215686275,Empirical,empirical,8,20
3,44,0.12843137254901962,0.1936274509803922,-0.17764705882352944,0.6091176470588237,0.015490196078431372,0.6091176470588237,Empirical,empirical,8,20
4,49,0.10098039215686272,0.1764705882352941,-0.16450980392156858,0.4519607843137255,0.020784313725490184,0.4519607843137255,Empirical,empirical,8,20
5,52,-0.06029411764705883,0.17794117647058824,-0.35392156862745094,0.32666666666666655,0.03068627450980394,0.4052941176470588,Empirical,empirical,8,20
6,53,-0.08823529411764713,0.2009803921568627,-0.39627450980392154,0.2964705882352942,0.07666666666666673,0.415686274509804,Empirical,empirical,8,20
7,53,-0.0911764705882353,0.17843137254901964,-0.43333333333333335,0.22254901960784315,0.03039215686274513,0.4333333333333334,Empirical,empirical,8,20
8,50,-0.13137254901960788,0.17843137254901964,-0.542156862745098,0.12362745098039209,0.03127450980392157,0.542156862745098,Empirical,empirical,8,20
9,49,-0.13431372549019605,0.13431372549019605,-0.5901960784313725,0.10921568627450978,0.03941176470588233,0.5901960784313728,Empirical,empirical,8,20
10,51,-0.06960784313725499,0.07843137254901966,-0.42549019607843136,0.03529411764705881,0.016666666666666607,0.42549019607843136,Empirical,empirical,8,20
1,1000,0.4348,0.4348,0.05009000000000001,0.82855,0.056180000000000015,0.82855,AR(1)-GRW-S,ar1_s,0,5
2,1000,0.3449,0.3449,-0.056960000000000004,0.7438400000000001,0.05044,0.7438400000000001,AR(1)-GRW-S,ar1_s,0,5
3,1000,0.257,0.26065000000000005,-0.15347,0.65435,0.04798999999999999,0.65435,AR(1)-GRW-S,ar1_s,0,5
4,1000,0.1492,0.24195,-0.23896,0.54437,0.05421000000000002,0.54437,AR(1)-GRW-S,ar1_s,0,5
5,1000,0.04639999999999997,0.25585,-0.35444,0.44291,0.04815000000000002,0.4512300000000001,AR(1)-GRW-S,ar1_s,0,5
6,1000,-0.05989999999999995,0.25165000000000004,-0.44736000000000004,0.36340000000000006,0.05198000000000004,0.45824999999999994,AR(1)-GRW-S,ar1_s,0,5
7,1000,-0.14994999999999997,0.25754999999999995,-0.55418,0.25730000000000003,0.05157999999999998,0.55418,AR(1)-GRW-S,ar1_s,0,5
8,1000,-0.23379999999999998,0.24874999999999997,-0.65531,0.14439000000000013,0.04604000000000003,0.6553100000000001,AR(1)-GRW-S,ar1_s,0,5
9,1000,-0.3264,0.3264,-0.73253,0.05795,0.04676999999999996,0.73253,AR(1)-GRW-S,ar1_s,0,5
10,1000,-0.449,0.449,-0.8454099999999999,-0.03323999999999999,0.051080000000000035,0.8454099999999999,AR(1)-GRW-S,ar1_s,0,5
1,1000,0.4449,0.4449,0.0517,0.8459000000000001,0.06627000000000001,0.8459000000000001,AR(1)-GRW-S,ar1_s,0,10
2,1000,0.35665,0.35665,-0.04402,0.76067,0.05418999999999999,0.76067,AR(1)-GRW-S,ar1_s,0,10
3,1000,0.24915000000000004,0.26054999999999995,-0.15125,0.64148,0.05347,0.64148,AR(1)-GRW-S,ar1_s,0,10
4,1000,0.13745000000000002,0.2571,-0.25367,0.55742,0.05187,0.55742,AR(1)-GRW-S,ar1_s,0,10
5,1000,0.05670000000000003,0.25839999999999996,-0.35362999999999994,0.44836,0.05530000000000001,0.45631000000000005,AR(1)-GRW-S,ar1_s,0,10
6,1000,-0.03230000000000002,0.24184999999999998,-0.45424,0.3328800000000001,0.04165000000000007,0.45690000000000003,AR(1)-GRW-S,ar1_s,0,10
7,1000,-0.1577,0.24179999999999996,-0.5408,0.2336200000000001,0.04952999999999998,0.5408000000000001,AR(1)-GRW-S,ar1_s,0,10
8,1000,-0.29369999999999996,0.29384999999999994,-0.6570499999999999,0.13295,0.04967999999999997,0.6570499999999999,AR(1)-GRW-S,ar1_s,0,10
9,1000,-0.34595,0.34595,-0.75425,0.05633000000000002,0.05068999999999998,0.7542500000000001,AR(1)-GRW-S,ar1_s,0,10
