source,source_type,model_tag,window,corr,n,log_mean,log_sd
Unfitted-GRW,simulated,unfitted_grw,Stage 0,0.9999868426909932,50000,1.9980934864493651,0.7222997023638865
Data (CS),empirical,unfitted_grw,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
Unfitted-GRW,simulated,unfitted_grw,Stage 1-4,0.9996922629589922,50000,4.109217801791432,1.227737967870307
Data (CS),empirical,unfitted_grw,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
Unfitted-GRW,simulated,unfitted_grw,Stage 5-7,0.9999819004726372,50000,3.6612640644054126,1.8466189832059305
Data (CS),empirical,unfitted_grw,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
Unfitted-GRW,simulated,unfitted_grw,Stage 8-20,0.9997429038925773,50000,6.05443506345514,2.5748874624283182
Data (CS),empirical,grw_y,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
GRW-Y,simulated,grw_y,Last four observed / 17-20,0.9925771560161734,49233,5.654037057668036,4.695056706152745
Data (CS),empirical,grw_y,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
GRW-Y,simulated,grw_y,"Full career, 0-20",0.9777790384816485,50000,8.678049097835864,3.53135093192803
Data (CS),empirical,grw_y,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
GRW-Y,simulated,grw_y,Stage 0,0.9687984504975108,50000,1.3509081742353979,1.8563501969536478
Data (CS),empirical,grw_y,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
GRW-Y,simulated,grw_y,Stage 1-4,0.9988090160501513,49688,4.661356782821033,2.7994097655403194
Data (CS),empirical,grw_y,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
GRW-Y,simulated,grw_y,Stage 5-7,0.9999003912483261,48594,4.429318784212382,3.634247774711978
Data (CS),empirical,grw_y,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
GRW-Y,simulated,grw_y,Stage 8-20,0.9862874118635018,49999,7.797320087412967,4.052624676893096
Data (CS),empirical,ar1_y,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
AR(1)-GRW-Y,simulated,ar1_y,Last four observed / 17-20,0.9953154941602741,49981,3.9818266748552054,1.6476655690542628
Data (CS),empirical,ar1_y,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
AR(1)-GRW-Y,simulated,ar1_y,"Full career, 0-20",0.9997929730812034,50000,7.081998306363277,0.7610303213006919
Data (CS),empirical,ar1_y,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
AR(1)-GRW-Y,simulated,ar1_y,Stage 0,0.9700555625641172,50000,1.3479076503205663,1.8549607602175513
Data (CS),empirical,ar1_y,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
AR(1)-GRW-Y,simulated,ar1_y,Stage 1-4,0.9979282663839001,50000,4.547853296374919,1.2115594007696868
Data (CS),empirical,ar1_y,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
AR(1)-GRW-Y,simulated,ar1_y,Stage 5-7,0.9966857082630547,49988,4.031305755531995,1.3628525021199343
Data (CS),empirical,ar1_y,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
AR(1)-GRW-Y,simulated,ar1_y,Stage 8-20,0.9997693838135407,50000,6.204077764789767,1.0088726727831847
Data (CS),empirical,ar1_s,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
AR(1)-GRW-S,simulated,ar1_s,Last four observed / 17-20,0.9958486597855062,49993,4.101834110472717,1.5094724974678015
Data (CS),empirical,ar1_s,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
AR(1)-GRW-S,simulated,ar1_s,"Full career, 0-20",0.9998598889338062,50000,7.087608205706745,0.7588192566890861
Data (CS),empirical,ar1_s,Stage 0,0.9781894421005022,363,2.4195359441785187,0.8730148794719607
AR(1)-GRW-S,simulated,ar1_s,Stage 0,0.9687605361169883,50000,1.3477777283521368,1.8554868015919632
Data (CS),empirical,ar1_s,Stage 1-4,0.9879959626348181,497,4.521394424345055,1.124840438107774
AR(1)-GRW-S,simulated,ar1_s,Stage 1-4,0.998229877223301,49999,4.510332492733294,1.2144506937819304
Data (CS),empirical,ar1_s,Stage 5-7,0.9911160956823608,500,4.197021893047015,1.1159804871625059
AR(1)-GRW-S,simulated,ar1_s,Stage 5-7,0.9968914184407784,49996,4.072214602400037,1.361041008367718
Data (CS),empirical,ar1_s,Stage 8-20,0.9909949189535822,509,6.158665439170955,1.1805459475314493
AR(1)-GRW-S,simulated,ar1_s,Stage 8-20,0.9998434387071329,50000,6.216625340307696,0.9987408233780785
Data (CS),empirical,hurdle_ar1_s,Last four observed / 17-20,0.9876000511117649,1872,4.123854456307525,1.344266110585815
Hurdle-AR(1)-GRW-S,simulated,hurdle_ar1_s,Last four observed / 17-20,0.979756678928965,49256,4.045867986874757,1.318426582681014
Data (CS),empirical,hurdle_ar1_s,"Full career, 0-20",0.9959445310568338,510,6.927062953561247,1.0148331193805715
