year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid,persistence,model_tag,model,stage,transition_year_start,transition_year_end,spectral_radius,is_stationary,beta_1,beta_2,beta_3
10,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
11,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
12,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
13,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
14,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
15,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
16,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
17,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
18,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
19,12104,0.4820564251130624,0.6524110439815193,0.8478932400864798,0.718922946584349,1.3868577144534833,1.2516943376266276,-7.038505784669201e-16,0.8478932400864798,0.6524110439815193,ar1_s_globalinit,AR(1)-GRW-S-G,8-20,8.0,19.0,,,,,
0,1451,1.020303471550196,0.4706556353050226,0.6362875420762529,0.4048618362014393,1.927485281038408,0.520064913744803,,,0.4706556353050226,hurdle_ar1_s,Hurdle-AR(1)-GRW-S,0,0.0,0.0,0.4706556353050226,True,,,
1,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,1.953141464412695,0.560005241683347,,,0.5519703364005005,hurdle_ar1_s,Hurdle-AR(1)-GRW-S,1-4,1.0,4.0,0.5519703364005005,True,,,
2,6596,0.8750653132630535,0.5519703364005005,0.6240094097240136,0.3893877434241119,1.953141464412695,0.560005241683347,,,0.5519703364005005,hurdle_ar1_s,Hurdle-AR(1)-GRW-S,1-4,1.0,4.0,0.5519703364005005,True,,,
