source,model_tag,reference_year,target_year,starting_decile,ending_decile,probability
AR(1)-GRW-S,ar1_s,0,5,8,6,0.109
AR(1)-GRW-S,ar1_s,0,5,8,7,0.111
AR(1)-GRW-S,ar1_s,0,5,8,8,0.101
AR(1)-GRW-S,ar1_s,0,5,8,9,0.097
AR(1)-GRW-S,ar1_s,0,5,8,10,0.097
AR(1)-GRW-S,ar1_s,0,5,9,1,0.08
AR(1)-GRW-S,ar1_s,0,5,9,2,0.1
AR(1)-GRW-S,ar1_s,0,5,9,3,0.09
AR(1)-GRW-S,ar1_s,0,5,9,4,0.11
AR(1)-GRW-S,ar1_s,0,5,9,5,0.096
AR(1)-GRW-S,ar1_s,0,5,9,6,0.09
AR(1)-GRW-S,ar1_s,0,5,9,7,0.112
AR(1)-GRW-S,ar1_s,0,5,9,8,0.104
AR(1)-GRW-S,ar1_s,0,5,9,9,0.113
AR(1)-GRW-S,ar1_s,0,5,9,10,0.105
AR(1)-GRW-S,ar1_s,0,5,10,1,0.087
AR(1)-GRW-S,ar1_s,0,5,10,2,0.111
AR(1)-GRW-S,ar1_s,0,5,10,3,0.088
AR(1)-GRW-S,ar1_s,0,5,10,4,0.105
AR(1)-GRW-S,ar1_s,0,5,10,5,0.103
AR(1)-GRW-S,ar1_s,0,5,10,6,0.101
AR(1)-GRW-S,ar1_s,0,5,10,7,0.104
AR(1)-GRW-S,ar1_s,0,5,10,8,0.099
AR(1)-GRW-S,ar1_s,0,5,10,9,0.088
AR(1)-GRW-S,ar1_s,0,5,10,10,0.114
Empirical,empirical,0,10,1,1,
Empirical,empirical,0,10,1,2,
Empirical,empirical,0,10,1,3,
Empirical,empirical,0,10,1,4,
Empirical,empirical,0,10,1,5,
Empirical,empirical,0,10,1,6,
Empirical,empirical,0,10,1,7,
Empirical,empirical,0,10,1,8,
Empirical,empirical,0,10,1,9,
Empirical,empirical,0,10,1,10,
Empirical,empirical,0,10,2,1,0.17006802721088435
Empirical,empirical,0,10,2,2,0.10204081632653061
Empirical,empirical,0,10,2,3,0.1292517006802721
Empirical,empirical,0,10,2,4,0.11564625850340136
Empirical,empirical,0,10,2,5,0.14285714285714285
Empirical,empirical,0,10,2,6,0.10204081632653061
Empirical,empirical,0,10,2,7,0.04081632653061224
Empirical,empirical,0,10,2,8,0.07482993197278912
Empirical,empirical,0,10,2,9,0.08843537414965986
Empirical,empirical,0,10,2,10,0.034013605442176874
Empirical,empirical,0,10,3,1,0.0
Empirical,empirical,0,10,3,2,0.0
Empirical,empirical,0,10,3,3,0.09090909090909091
Empirical,empirical,0,10,3,4,0.18181818181818182
Empirical,empirical,0,10,3,5,0.18181818181818182
Empirical,empirical,0,10,3,6,0.09090909090909091
Empirical,empirical,0,10,3,7,0.09090909090909091
Empirical,empirical,0,10,3,8,0.0
Empirical,empirical,0,10,3,9,0.18181818181818182
Empirical,empirical,0,10,3,10,0.18181818181818182
Empirical,empirical,0,10,4,1,0.14
Empirical,empirical,0,10,4,2,0.18
