gap_bin,inversion_probability,final_tie_probability,n,gap_mean,se,lower,upper,source,model_tag,reference_year,target_year
"[0.02, 0.05)",0.4673224043715847,0.015081967213114755,4575,0.03512804028715311,0.007376408632635299,0.4528646434516195,0.4817801652915499,Empirical,empirical,0,10
"[0.05, 0.1)",0.4668560606060606,0.012626262626262626,6336,0.0762892404436522,0.0062676704658438135,0.45457142649300675,0.47914069471911447,Empirical,empirical,0,10
"[0.1, 0.2)",0.44086969296312617,0.013148229763478772,13614,0.1525853576335779,0.004255188131125476,0.43252952422612023,0.4492098617001321,Empirical,empirical,0,10
"[0.2, 0.4)",0.41450039170999214,0.02392991952140161,28082,0.2921254421574912,0.0029397592095092456,0.408738463659354,0.4202623197606303,Empirical,empirical,0,10
"[0.4, 0.6)",0.37414333268063443,0.020168396318778148,20428,0.4918346886434229,0.0033856614003531602,0.36750743633594224,0.3807792290253266,Empirical,empirical,0,10
"[0.6, 1.01)",0.2992184592482322,0.01916635653144771,16122,0.7211006881353211,0.0036064179797506194,0.29214988000792097,0.30628703848854344,Empirical,empirical,0,10
"[0.0, 0.02)",0.4925907000510986,0.0002554931016862545,3914,0.009993050587634134,0.007991198247530881,0.4769279514859381,0.5082534486162591,AR(1)-GRW-S,ar1_s,0,10
"[0.02, 0.05)",0.5075885328836425,0.00016863406408094435,5930,0.03484301854974705,0.006492211109280573,0.49486379910945255,0.5203132666578324,AR(1)-GRW-S,ar1_s,0,10
"[0.05, 0.1)",0.4898510041027856,0.0004318721658389117,9262,0.07472645217015764,0.005194313181549161,0.47967015026694926,0.5000318579386219,AR(1)-GRW-S,ar1_s,0,10
"[0.1, 0.2)",0.4970185899684321,0.000643049222495031,17106,0.1491785572313808,0.0038228569716677314,0.48952579030396337,0.5045113896329009,AR(1)-GRW-S,ar1_s,0,10
"[0.2, 0.4)",0.5016975805010543,0.0002859082949144062,27981,0.29515608448590114,0.002989068621743275,0.49583900600243747,0.5075561549996711,AR(1)-GRW-S,ar1_s,0,10
"[0.4, 0.6)",0.5086751985431737,0.0006575952248469827,19769,0.49314279933228794,0.0035555948999898817,0.5017062325391936,0.5156441645471538,AR(1)-GRW-S,ar1_s,0,10
"[0.6, 1.01)",0.5089786756453423,0.0004988153136301285,16038,0.7321850355405911,0.003947524787838047,0.5012415270611797,0.5167158242295048,AR(1)-GRW-S,ar1_s,0,10
"[0.0, 0.02)",0.43896713615023475,0.019561815336463225,1278,0.013393322900365157,0.013881766266842364,0.41175887426722374,0.46617539803324576,Empirical,empirical,0,20
"[0.02, 0.05)",0.47508090614886733,0.014023732470334413,4635,0.03514330435518328,0.0073350842093665184,0.46070414109850893,0.48945767119922573,Empirical,empirical,0,20
"[0.05, 0.1)",0.4887351142581268,0.013196009011908594,6214,0.07655688925071155,0.006341239117229125,0.47630628558835775,0.5011639429278959,Empirical,empirical,0,20
"[0.1, 0.2)",0.46448362720403025,0.02360561353004678,13895,0.15251543438534107,0.004230992993401617,0.4561908809369631,0.4727763734710974,Empirical,empirical,0,20
"[0.2, 0.4)",0.42338151212756137,0.021485137966547108,28159,0.2920698916307885,0.0029444325653810543,0.4176104242994145,0.42915259995570826,Empirical,empirical,0,20
"[0.4, 0.6)",0.42497299420602963,0.026416576647353432,20366,0.49169761983159166,0.003463952415396093,0.41818364747185327,0.431762340940206,Empirical,empirical,0,20
"[0.6, 1.01)",0.3268240612834359,0.024551048599773955,15926,0.7212945657981892,0.0037167893483157828,0.31953915416073697,0.3341089684061348,Empirical,empirical,0,20
"[0.0, 0.02)",0.5100959111559819,0.0002523977788995457,3962,0.010068980312973246,0.007941896402619913,0.49452979420684684,0.5256620281051169,AR(1)-GRW-S,ar1_s,0,20
"[0.02, 0.05)",0.49938843264022365,0.001397868250917351,5723,0.03485635156386511,0.00660933563138302,0.4864341348027129,0.5123427304777344,AR(1)-GRW-S,ar1_s,0,20
"[0.05, 0.1)",0.5069429377305272,0.00021696680407897592,9218,0.07473980256020829,0.005207266186231184,0.4967366960055141,0.5171491794555404,AR(1)-GRW-S,ar1_s,0,20
"[0.1, 0.2)",0.5097556688345931,0.0005859260561317162,17067,0.14903519071893126,0.003826561768073134,0.5022556077691698,0.5172557299000164,AR(1)-GRW-S,ar1_s,0,20
"[0.2, 0.4)",0.4950969942442976,0.0003552902721523485,28146,0.2948417608185888,0.002980168234342961,0.48925586450498537,0.5009381239836098,AR(1)-GRW-S,ar1_s,0,20
"[0.4, 0.6)",0.502387347060579,0.0007957823535263105,20106,0.49302368944593655,0.0035261616249024188,0.49547607027577023,0.5092986238453877,AR(1)-GRW-S,ar1_s,0,20
"[0.6, 1.01)",0.5013943465584991,0.0009506908353403474,15778,0.7322437064266701,0.003980543183199618,0.4935924819194279,0.5091962111975704,AR(1)-GRW-S,ar1_s,0,20
