source,model_tag,state,run_length,probability
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,5,0.06223030124378721
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,6,0.05414036208209487
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,7,0.050349226624743094
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,8,0.04313542459898303
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,9,0.037952295561178115
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,10,0.03312125901725253
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,11,0.02821652869553825
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,12,0.02474473294193749
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,13,0.02325448099109943
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,14,0.020134777731377992
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,15,0.01783389422486428
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,16,0.016499218027135686
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,17,0.015786844841844963
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,18,0.014190146323089898
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,19,0.01495983689110516
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,20,0.01687587511361124
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,active,21,0.07318610954170658
