source,model_tag,trajectory_index,year,productivity
Empirical,empirical,97,20,5.426342799856521
Empirical,empirical,421,0,2.7745235004123305
Empirical,empirical,421,1,13.224045766643629
Empirical,empirical,421,2,10.096966521751412
Empirical,empirical,421,3,12.059797255090196
Empirical,empirical,421,4,18.45761882119745
Empirical,empirical,421,5,8.837188389797625
Empirical,empirical,421,6,10.58822790541737
Empirical,empirical,421,7,30.47572233241699
Empirical,empirical,421,8,5.853085487032883
Empirical,empirical,421,9,7.500638964126613
Empirical,empirical,421,10,3.607450054863695
Empirical,empirical,421,11,8.681894503351716
Empirical,empirical,421,12,5.0184284035381586
Empirical,empirical,421,13,20.96554853375659
Empirical,empirical,421,14,14.003082667878896
Empirical,empirical,421,15,12.016540965892675
Empirical,empirical,421,16,10.157219798779982
Empirical,empirical,421,17,4.20778878591725
Empirical,empirical,421,18,5.426342799856521
Empirical,empirical,421,19,7.877028813869977
Empirical,empirical,421,20,10.169643289973786
Empirical,empirical,321,0,7.235878353054118
Empirical,empirical,321,1,11.536011763248403
Empirical,empirical,321,2,8.837188389797625
Empirical,empirical,321,3,14.823519067584316
Empirical,empirical,321,4,20.31714822161133
Empirical,empirical,321,5,13.657199469743391
Empirical,empirical,321,6,26.252236374443143
Empirical,empirical,321,7,14.42980021945478
Empirical,empirical,321,8,10.41827340402206
Empirical,empirical,321,9,11.70966627492237
Empirical,empirical,321,10,8.063672512983302
Empirical,empirical,321,11,10.891286519461364
Empirical,empirical,321,12,9.012405724419509
Empirical,empirical,321,13,8.706188398954271
Empirical,empirical,321,14,11.220770095779333
Empirical,empirical,321,15,6.782928499820651
Empirical,empirical,321,16,7.877028813869977
Empirical,empirical,321,17,6.356027056233616
Empirical,empirical,321,18,2.4631029151383848
Empirical,empirical,321,19,4.775004461937235
Empirical,empirical,321,20,10.41920181656517
Empirical,empirical,193,0,3.600009730581166
Empirical,empirical,193,1,17.0334039700754
Empirical,empirical,193,2,25.83250958925437
Empirical,empirical,193,3,12.2618015260278
Empirical,empirical,193,4,11.65745760505647
Empirical,empirical,193,5,22.196188003298644
Empirical,empirical,193,6,21.1584732266298
Empirical,empirical,193,7,15.145449782627118
Empirical,empirical,193,8,16.883716157126276
Empirical,empirical,193,9,6.921607057949043
Empirical,empirical,193,10,6.6278912923482185
Empirical,empirical,193,11,4.235291162166948
Empirical,empirical,193,12,4.063429644322265
Empirical,empirical,193,13,9.755142478388136
Empirical,empirical,193,14,16.87643766928488
Empirical,empirical,193,15,18.03725027431847
Empirical,empirical,193,16,15.62741010603309
Empirical,empirical,193,17,6.691237871384211
Empirical,empirical,193,18,11.289141518176624
Empirical,empirical,193,19,4.667694222626299
Empirical,empirical,193,20,19.5268790695756
Empirical,empirical,103,0,0.0
Empirical,empirical,103,1,3.2290636986567964
Empirical,empirical,103,2,12.2618015260278
Empirical,empirical,103,3,2.9143644012641174
Empirical,empirical,103,4,11.098094001649322
Empirical,empirical,103,5,2.6448091533287252
Empirical,empirical,103,6,5.048483260875706
Empirical,empirical,103,7,4.823918902036079
Empirical,empirical,103,8,2.3072023526496808
Empirical,empirical,103,9,2.209297097449406
Empirical,empirical,103,10,0.0
Empirical,empirical,103,11,0.0
Empirical,empirical,103,12,0.0
Empirical,empirical,103,13,0.0
