q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
0,704,0.2698351858949789,2609,2.301768747884825,0.25315023910763207,0.2871969445869325,SE-Hurdle-T5,1-4
1,345,0.21495327102803738,1605,2.8341092997651485,0.19554905087234226,0.23571876318716495,SE-Hurdle-T5,1-4
2,784,0.16568047337278108,4732,3.8401106664998856,0.15535908573237034,0.1765442448182123,SE-Hurdle-T5,1-4
3,522,0.13762193514368573,3793,5.100492670665636,0.1270242960153948,0.14895287406196636,SE-Hurdle-T5,1-4
4,427,0.1124275934702475,3798,6.359314130863995,0.10277011224362351,0.12286832571760031,SE-Hurdle-T5,1-4
5,283,0.0897273303741281,3154,7.765706777014453,0.08024592777804702,0.10020694864235356,SE-Hurdle-T5,1-4
6,239,0.08033613445378152,2975,9.229925747711142,0.07110117120851353,0.09065351893681009,SE-Hurdle-T5,1-4
7,150,0.05268703898840885,2847,11.390046843659675,0.04506666030229899,0.061512954643687494,SE-Hurdle-T5,1-4
8,104,0.039304610733182165,2646,14.439485826507255,0.03254362796055632,0.04740137705408305,SE-Hurdle-T5,1-4
9,49,0.01800808526277104,2721,23.009377096803295,0.013648457146128015,0.023726779638278093,SE-Hurdle-T5,1-4
0,34,0.2222222222222222,153,1.9967827462382113,0.16360628328727117,0.29444566211496903,Empirical,5-7
1,42,0.2781456953642384,151,2.6677592895199953,0.21285694664438737,0.3544427970937294,Empirical,5-7
2,19,0.12337662337662338,154,3.956574753864151,0.0804245832389233,0.18466142703973576,Empirical,5-7
3,18,0.11688311688311688,154,5.071887945687309,0.07522536588337418,0.17718971353802038,Empirical,5-7
4,15,0.11029411764705882,136,6.17130603859902,0.06798721903592,0.17401230042037907,Empirical,5-7
5,13,0.0783132530120482,166,7.7000910141924885,0.0463350111571394,0.1293675257949383,Empirical,5-7
6,4,0.030303030303030304,132,9.371178815775814,0.011845868852119364,0.07532624926191933,Empirical,5-7
7,8,0.05228758169934641,153,11.242247075594246,0.02672972900320813,0.09977752417452024,Empirical,5-7
8,2,0.013793103448275862,145,14.595213116289328,0.003790673072295709,0.048893522743927706,Empirical,5-7
9,0,0.0,150,24.205595642903997,0.0,0.02497113914571871,Empirical,5-7
0,340,0.11359839625793518,2993,1.9967827462382113,0.10272169057908193,0.1254657451532571,Hurdle-AR(5)-S,5-7
1,340,0.10978366160800775,3097,2.6677592895199953,0.09925292949980973,0.1212812635399121,Hurdle-AR(5)-S,5-7
2,281,0.09633184778882413,2917,3.956574753864151,0.08614941348398465,0.1075761209647167,Hurdle-AR(5)-S,5-7
3,292,0.10395158419366322,2809,5.071887945687309,0.09320067191558776,0.11578429190178466,Hurdle-AR(5)-S,5-7
4,264,0.10022779043280182,2634,6.17130603859902,0.08933501946271188,0.11228497166943194,Hurdle-AR(5)-S,5-7
5,282,0.10637495284798189,2651,7.7000910141924885,0.09520243768372945,0.1186866320069067,Hurdle-AR(5)-S,5-7
6,199,0.1006066734074823,1978,9.371178815775814,0.08811453327372011,0.1146471808814374,Hurdle-AR(5)-S,5-7
7,175,0.08393285371702638,2085,11.242247075594246,0.0727820517330857,0.09661403842521067,Hurdle-AR(5)-S,5-7
8,195,0.10574837310195227,1844,14.595213116289328,0.09252270392113152,0.1206133137981362,Hurdle-AR(5)-S,5-7
9,219,0.09959072305593451,2199,24.205595642903997,0.08776423519124349,0.1128137818572815,Hurdle-AR(5)-S,5-7
0,563,0.3447642375995101,1633,1.9967827462382113,0.32209999775004955,0.3681571413646942,SE-Hurdle-S,5-7
1,610,0.22262773722627738,2740,2.6677592895199953,0.20744510534522093,0.23858705627810312,SE-Hurdle-S,5-7
2,454,0.15709342560553632,2890,3.956574753864151,0.14428253763652388,0.1708147365197395,SE-Hurdle-S,5-7
3,345,0.11855670103092783,2910,5.071887945687309,0.10731111742912249,0.1308080720285337,SE-Hurdle-S,5-7
4,235,0.0822829131652661,2856,6.17130603859902,0.07275690639618458,0.09293115129204539,SE-Hurdle-S,5-7
5,181,0.06139755766621438,2948,7.7000910141924885,0.05328941425320897,0.07064731731124899,SE-Hurdle-S,5-7
6,101,0.045393258426966294,2225,9.371178815775814,0.037499162394367964,0.05485446201752384,SE-Hurdle-S,5-7
7,79,0.03323517038283551,2377,11.242247075594246,0.02674874172042796,0.041227893096436805,SE-Hurdle-S,5-7
8,63,0.02956358517128109,2131,14.595213116289328,0.023175286380229372,0.03764496370296182,SE-Hurdle-S,5-7
9,32,0.012232415902140673,2616,24.205595642903997,0.008678094201212887,0.017217211835610098,SE-Hurdle-S,5-7
0,603,0.3555424528301887,1696,1.9967827462382113,0.3331106439885342,0.3786272026437637,SE-Hurdle-T5,5-7
1,632,0.2284887924801157,2766,2.6677592895199953,0.213224593489831,0.24450613017321174,SE-Hurdle-T5,5-7
2,439,0.1489650492025789,2947,3.956574753864151,0.13656700401186297,0.16227709524443054,SE-Hurdle-T5,5-7
3,333,0.11238609517381033,2963,5.071887945687309,0.10151171439002409,0.1242642758077674,SE-Hurdle-T5,5-7
4,231,0.08339350180505416,2770,6.17130603859902,0.07366531978680413,0.09427563257327295,SE-Hurdle-T5,5-7
5,218,0.07369844489519946,2958,7.7000910141924885,0.06482533735462134,0.08367740499324763,SE-Hurdle-T5,5-7
6,93,0.04309545875810936,2158,9.371178815775814,0.03530855937768632,0.05250620003854475,SE-Hurdle-T5,5-7
7,71,0.030419880034275922,2334,11.242247075594246,0.02418711245655049,0.03819589929240633,SE-Hurdle-T5,5-7
