model,year,mean,median,variance,zero_fraction,log_mean,log_median,log_variance
SE-Hurdle-T5,18,6.858560912838568,4.685858919707287,69.4275260815614,0.1738,1.425462107827634,1.644005295528725,1.4249997173500102
SE-Hurdle-T5,19,6.730948337471239,4.68372970170629,62.96091181281982,0.1753,1.4179239165499857,1.64359383700435,1.4174585442774887
SE-Hurdle-T5,20,6.748035722921611,4.605208446221868,64.28076663369875,0.1759,1.4129795027479706,1.6283005770215777,1.4239169531505826
Hurdle-AR(5)-S,0,3.946735447526567,1.268131037807553,35.95928900607542,0.3934,0.6529970449502984,0.5642512080284954,1.7582002849677545
Hurdle-AR(5)-S,1,5.040163865656156,3.4788835920380166,36.75945030483994,0.2738,1.0553218258661088,1.3784848153402436,1.6178383202196784
Hurdle-AR(5)-S,2,5.723060550466775,4.2026191316228765,42.47247113132044,0.2111,1.256919288852622,1.5459908766494572,1.4605862732875226
Hurdle-AR(5)-S,3,6.6104223001515505,4.9399281728627065,53.37568571367539,0.1871,1.3984809754153793,1.691925900102703,1.4781182961289707
Hurdle-AR(5)-S,4,7.17174141465749,5.388994649150229,59.99839000297268,0.1776,1.4773426573606778,1.7713857555068024,1.4942680178917194
Hurdle-AR(5)-S,5,7.31550603859149,5.553882146946286,58.75197499575174,0.1757,1.5027283426293063,1.7990465428431344,1.4930612978047098
Hurdle-AR(5)-S,6,6.220718995712945,4.579948213557248,42.54060263821603,0.1507,1.4101549428494111,1.6233306032503623,1.2656698032227993
Hurdle-AR(5)-S,7,6.192121643041214,4.5796913429017385,45.74261309661152,0.1529,1.4044451147839285,1.6232799366167276,1.2621507129980818
Hurdle-AR(5)-S,8,6.08401976386821,4.51086547932395,40.688647700409525,0.1483,1.3990115520349042,1.6096109933170926,1.2357020709699038
Hurdle-AR(5)-S,9,5.813728455954241,4.100382602837589,42.88132642868425,0.1512,1.3379884073809272,1.5239633674678374,1.233367647321683
Hurdle-AR(5)-S,10,5.645325194315578,3.975789386803931,42.103905651520456,0.1564,1.3078665011921338,1.4964459731934694,1.2339884292555994
Hurdle-AR(5)-S,11,5.573259280850163,3.9114898333503323,40.51748539069151,0.1534,1.3009655368682547,1.4819430813772918,1.21965291598062
Hurdle-AR(5)-S,12,5.446843138111588,3.774102278296567,40.13866973824603,0.1558,1.2749863146980398,1.4502316719708088,1.2147221162786739
Hurdle-AR(5)-S,13,5.441022189133914,3.8054672190449317,39.24134483530661,0.1524,1.2855032061342642,1.4575603277054014,1.1922149789681613
Hurdle-AR(5)-S,14,5.401972309980185,3.744053558654828,40.22537091377484,0.1501,1.279952452420638,1.443159821240232,1.1790083355447434
Hurdle-AR(5)-S,15,5.362779620108471,3.665551068190239,43.27925059941528,0.1544,1.261387041935603,1.424445047151421,1.198098504345379
Hurdle-AR(5)-S,16,5.252618989532887,3.582743393856515,38.94202722915763,0.1595,1.2391943843867999,1.4043168248574776,1.2067860818751233
Hurdle-AR(5)-S,17,5.229338410195969,3.6110504183231322,42.91266882550285,0.1572,1.2411020231938077,1.4112431362300093,1.1885449031716495
Hurdle-AR(5)-S,18,5.2010979184258925,3.585041339732559,40.72102016793777,0.1566,1.2376529170034807,1.4048808892989175,1.1811724976215976
Hurdle-AR(5)-S,19,5.183698277337815,3.5760159483791583,40.31196227902833,0.1515,1.2392475898393034,1.4026636188921315,1.1628891192515494
Hurdle-AR(5)-S,20,5.170051732233207,3.5971824701454995,38.02520515819753,0.1514,1.2419202782187606,1.4078558390937883,1.1577397345449503
