model,transition_year,target_year,raw_delta_mean,raw_delta_variance,log_delta_mean,log_delta_variance
SE-Hurdle-T5,2,3,0.6452676952695197,51.53124940716282,0.12785528553581574,1.544013796776034
SE-Hurdle-T5,3,4,0.600331363409613,55.36221803366287,0.12101375477468172,1.4697248689955036
SE-Hurdle-T5,4,5,0.2598216798376847,62.49524082795697,0.04671998879981907,1.4395615900266219
SE-Hurdle-T5,5,6,-0.8982981868415263,54.04726130266027,-0.08524655659643705,1.344705189531627
SE-Hurdle-T5,6,7,-0.011998375374458586,47.825589329179955,0.006399298974430065,1.249782809056001
SE-Hurdle-T5,7,8,0.06310769857406574,48.1859874941209,0.0032318850915384182,1.2553917896253244
SE-Hurdle-T5,8,9,-0.0713465151372922,44.34242377716582,-0.007381244225766738,1.0360206519637307
SE-Hurdle-T5,9,10,0.1109504323713936,47.14219201316459,-0.014412006135118387,0.9603463704775157
SE-Hurdle-T5,10,11,-0.03157452678099936,50.34250170613182,-0.006647224674809401,0.9494893970257421
SE-Hurdle-T5,11,12,-0.1048582176833829,43.37428555879425,-0.019826252147647574,0.9283808005906415
SE-Hurdle-T5,12,13,0.08748454128104859,43.44038230424545,0.008832228012949231,0.9595190263976219
SE-Hurdle-T5,13,14,-0.07473661529243052,44.3923156719883,-0.02580411695708778,0.9428863478147302
SE-Hurdle-T5,14,15,0.001104450110500665,46.99098343294009,0.0029836278679030697,0.9590700003733249
SE-Hurdle-T5,15,16,0.06244894527311659,47.26988878346597,-0.006284281893343076,0.9480369932056909
SE-Hurdle-T5,16,17,-0.03279707902391861,44.49820085052315,-0.006529314820448093,0.9419598741456039
SE-Hurdle-T5,17,18,-0.003855951025566658,50.88262006263834,-0.020362205912115076,0.9659517886943951
SE-Hurdle-T5,18,19,-0.12761257536731624,50.87039116606219,-0.007538191277648537,0.9988494606472607
SE-Hurdle-T5,19,20,0.017087385450361457,46.030348188804375,-0.004944413802024028,0.9938159002028247
Hurdle-AR(5)-S,0,1,1.0934284181295995,41.24859844709006,0.4023247809158115,1.9303373178795293
Hurdle-AR(5)-S,1,2,0.6828966848105834,48.65352187645348,0.2015974629865066,1.6912182772578235
Hurdle-AR(5)-S,2,3,0.8873617496848032,56.02741026619233,0.14156168656275453,1.5569401448732854
Hurdle-AR(5)-S,3,4,0.5613191145059302,66.43968688215503,0.07886168194530481,1.6125385087814215
Hurdle-AR(5)-S,4,5,0.14376462393398623,69.87327479142823,0.02538568526863097,1.6485758006438243
Hurdle-AR(5)-S,5,6,-1.0947870428785076,57.03147649343525,-0.09257339977989447,1.5428385497809114
Hurdle-AR(5)-S,6,7,-0.02859735267175834,47.00266601010852,-0.005709828065479258,1.3614512943232915
Hurdle-AR(5)-S,7,8,-0.10810187917299918,48.99133119203132,-0.005433562749029297,1.3713127310558673
Hurdle-AR(5)-S,8,9,-0.2702913079139619,41.16226326927702,-0.061023144653980704,1.1843237707932426
Hurdle-AR(5)-S,9,10,-0.16840326163865194,41.85283453370909,-0.030121906188795868,1.1876435881235936
Hurdle-AR(5)-S,10,11,-0.07206591346545296,38.20398927888385,-0.006900964323874449,1.1609682814095033
Hurdle-AR(5)-S,11,12,-0.12641614273857138,37.90707410978222,-0.02597922217021358,1.1196504878891655
Hurdle-AR(5)-S,12,13,-0.005820948977642711,38.994709332270176,0.010516891436214293,1.1660841670759754
Hurdle-AR(5)-S,13,14,-0.03904987915374605,36.097771532559634,-0.005550753713620245,1.1338837231216345
Hurdle-AR(5)-S,14,15,-0.03919268987172552,36.047354904346456,-0.018565410485033882,1.109845410439201
Hurdle-AR(5)-S,15,16,-0.11016063057556683,36.81610729546265,-0.02219265754880209,1.1461472559536263
Hurdle-AR(5)-S,16,17,-0.02328057933692377,36.43406519263083,0.0019076388070043354,1.0850702015478746
Hurdle-AR(5)-S,17,18,-0.028240491770081297,37.89762755504122,-0.0034491061903221556,1.092053281018828
Hurdle-AR(5)-S,18,19,-0.017399641088081272,33.782853893497936,0.0015946728358227807,1.093578911085537
Hurdle-AR(5)-S,19,20,-0.0136465451045897,35.03804325034754,0.0026726883794514532,1.118551402906923
