rho,mean_nll,se_nll,model,max_lag
0.28583333333333333,1.0934257717065676,0.009394983557639637,SE-Hurdle-T5,5.0
0.294,1.0930576112121426,0.009422434931486564,SE-Hurdle-T5,5.0
0.30216666666666664,1.0926940771953382,0.00945028472131488,SE-Hurdle-T5,5.0
0.3103333333333333,1.092335172184108,0.009478305051316728,SE-Hurdle-T5,5.0
0.31849999999999995,1.0919811102378651,0.009506579416082425,SE-Hurdle-T5,5.0
0.32666666666666666,1.0916321436736125,0.009535102337512431,SE-Hurdle-T5,5.0
0.3348333333333333,1.0912884718487774,0.00956385980515557,SE-Hurdle-T5,5.0
0.34299999999999997,1.0909502648342921,0.009592836458298056,SE-Hurdle-T5,5.0
0.3511666666666666,1.0906178194756382,0.009622025401428338,SE-Hurdle-T5,5.0
0.3593333333333333,1.0902912709173607,0.009651386013758926,SE-Hurdle-T5,5.0
0.36749999999999994,1.0899708747655628,0.009680942680934515,SE-Hurdle-T5,5.0
0.37566666666666665,1.089656856844933,0.009710707085525329,SE-Hurdle-T5,5.0
0.3838333333333333,1.0893493827239786,0.00974056074590155,SE-Hurdle-T5,5.0
0.39199999999999996,1.089048691708971,0.0097705393646769,SE-Hurdle-T5,5.0
0.4001666666666666,1.0887549874096452,0.009800630909204576,SE-Hurdle-T5,5.0
0.40833333333333327,1.0884684718112208,0.009830813397254761,SE-Hurdle-T5,5.0
0.4165,1.0881893734444525,0.00986106179677887,SE-Hurdle-T5,5.0
0.42466666666666664,1.0879179113458444,0.009891365540754196,SE-Hurdle-T5,5.0
0.4328333333333333,1.0876542214503466,0.00992170560791482,SE-Hurdle-T5,5.0
0.44099999999999995,1.0873986190177396,0.009952027234164938,SE-Hurdle-T5,5.0
0.4491666666666666,1.0871512264849041,0.0099823047964954,SE-Hurdle-T5,5.0
0.45733333333333326,1.0869123007520143,0.010012569945510742,SE-Hurdle-T5,5.0
0.46549999999999997,1.086681984378632,0.010042777458328324,SE-Hurdle-T5,5.0
0.4736666666666666,1.0864604916051612,0.010072888257033837,SE-Hurdle-T5,5.0
