prior_quantile,n,q_prev_mean,q_next_mean,q_next_median,zero_fraction,q10,q90,model,condition
10,1765,17.351675446956435,8.45925462478816,7.832503996573296,0.0,3.3037171064479978,14.240856599887401,ARW4,9 ≤ q_t < 11
1,5329,0.0,2.440717160821379,0.42109328710083616,0.44830174516794896,0.0,7.535228007360719,Hurdle-AR(1)-S,q_t = 0
2,5328,0.0,2.391525933413055,0.256406906299937,0.4677177177177177,0.0,7.642979831304312,Hurdle-AR(1)-S,q_t = 0
3,5329,0.003177859286194123,2.4342570661012144,0.255587586446485,0.47100769375117285,0.0,7.648198520076548,Hurdle-AR(1)-S,q_t = 0
4,5328,2.32636842103377,2.2653279362511825,0.3256711604738427,0.46114864864864863,0.0,7.050487776856206,Hurdle-AR(1)-S,q_t = 0
5,5329,5.793257223128435,2.354942585543414,0.25303134657332965,0.4696941264777632,0.0,7.212918876725853,Hurdle-AR(1)-S,q_t = 0
6,5329,15.089465125403377,2.439652251868256,0.3246555018408264,0.46237568024019515,0.0,7.499621800943478,Hurdle-AR(1)-S,q_t = 0
1,2932,0.06414168811569894,6.415328772363912,5.230081141822428,0.10641200545702592,0.0,12.875518841384794,Hurdle-AR(1)-S,4 ≤ q_t < 6
2,2931,1.6535136626737055,6.243016895412081,4.993083291007909,0.0931422722620266,1.090599866258416,12.575927489134912,Hurdle-AR(1)-S,4 ≤ q_t < 6
3,2931,2.6202015816191304,6.286210286600254,5.0932697634886885,0.09757761856021835,0.9904002165094196,12.702547734772336,Hurdle-AR(1)-S,4 ≤ q_t < 6
4,2931,3.4046867597590182,6.08248644593196,4.951614526069656,0.10542476970317298,0.0,12.345320018548087,Hurdle-AR(1)-S,4 ≤ q_t < 6
5,2932,4.202839454365897,6.1581589189127826,5.0091852693950525,0.09583901773533424,1.0843029803581017,12.318416278852332,Hurdle-AR(1)-S,4 ≤ q_t < 6
6,2931,5.093470043474771,6.282163667084488,5.258460315307324,0.10167178437393382,0.0,12.411397238311421,Hurdle-AR(1)-S,4 ≤ q_t < 6
7,2931,6.150678528063295,6.3104979225696765,5.216771037131768,0.09791879904469464,0.8971850480977382,12.492182318783213,Hurdle-AR(1)-S,4 ≤ q_t < 6
8,2931,7.572031230683225,6.0856546723637255,5.008951316720577,0.11531900375298533,0.0,12.36876340344879,Hurdle-AR(1)-S,4 ≤ q_t < 6
9,2931,9.79296644305265,6.2582767360632285,5.2144966252593505,0.10576595018764927,0.0,12.55312621695995,Hurdle-AR(1)-S,4 ≤ q_t < 6
10,2932,16.356081660391684,6.184118200988618,5.039298289110649,0.10879945429740791,0.0,12.287266430788293,Hurdle-AR(1)-S,4 ≤ q_t < 6
1,1232,0.4651440991533633,9.298560159577457,7.590155507062905,0.12094155844155845,0.0,18.771436731219392,Hurdle-AR(1)-S,9 ≤ q_t < 11
2,1232,3.023941265375511,9.017044320967704,7.705901733482608,0.11038961038961038,0.0,17.42237617178582,Hurdle-AR(1)-S,9 ≤ q_t < 11
3,1232,4.305129584767093,9.352897087730373,7.427073877682869,0.11038961038961038,0.0,18.459263747063414,Hurdle-AR(1)-S,9 ≤ q_t < 11
4,1232,5.434475381736809,9.357246835987066,7.703837330559251,0.09821428571428571,1.0794581665180194,19.273679849525816,Hurdle-AR(1)-S,9 ≤ q_t < 11
5,1232,6.653201070568894,9.466462478499807,7.7462626387916185,0.10551948051948051,0.0,19.07547663999213,Hurdle-AR(1)-S,9 ≤ q_t < 11
6,1231,7.995484425341522,8.93775921711574,7.54118555194397,0.10560519902518278,0.0,17.61750601668968,Hurdle-AR(1)-S,9 ≤ q_t < 11
7,1232,9.61358615221717,9.145232426916579,7.31144413166701,0.10146103896103896,0.0,19.23737614803802,Hurdle-AR(1)-S,9 ≤ q_t < 11
8,1232,11.68677035729388,9.237359878746881,7.982235660340432,0.09496753246753246,1.5965017096696337,18.608811228883635,Hurdle-AR(1)-S,9 ≤ q_t < 11
9,1232,14.918191189835532,8.98473670500168,7.593986205534417,0.1038961038961039,0.0,16.76490055132611,Hurdle-AR(1)-S,9 ≤ q_t < 11
10,1232,24.52797388557611,9.395814267636855,7.8886179167692525,0.10064935064935066,0.1364411057176074,18.505400021791637,Hurdle-AR(1)-S,9 ≤ q_t < 11
1,4448,0.0,2.2783928451070734,0.5788132158170631,0.42985611510791366,0.0,6.947202128475805,Hurdle-AR(1)-S-P,q_t = 0
2,4448,0.0,2.2515056137513545,0.5366139129805588,0.4231115107913669,0.0,6.861285713811782,Hurdle-AR(1)-S-P,q_t = 0
