model,transition_year,target_year,raw_delta_mean,raw_delta_variance,log_delta_mean,log_delta_variance
Hurdle-AR(1)-S,4,5,0.18003553163745387,73.383198985445,0.02241735606768754,1.637068760300255
Hurdle-AR(1)-S,5,6,-0.5790188758108998,63.07606923508703,-0.03328089347343545,1.5466375687986607
Hurdle-AR(1)-S,6,7,-0.17469941431086744,55.817438630605324,-0.01544315252704815,1.4540108807863592
Hurdle-AR(1)-S,7,8,-0.0993312505626487,52.762915155984295,-0.004024052676146824,1.3975232068388403
Hurdle-AR(1)-S,8,9,0.013201157852544419,48.73718792101861,-0.03543251948199054,1.2094440458959381
Hurdle-AR(1)-S,9,10,-0.1344887425896388,53.76154847290491,-0.03408107071056381,1.2144032813612666
Hurdle-AR(1)-S,10,11,-0.07970144075422038,53.36913087620945,-0.003566511415300768,1.1973404658973847
Hurdle-AR(1)-S,11,12,-0.0015405008424274912,52.66827538659067,-0.010637697941156139,1.1914837194330634
Hurdle-AR(1)-S,12,13,-0.06339393780074458,51.87693829737375,-0.005321851857211817,1.1908586842064168
Hurdle-AR(1)-S,13,14,0.07325426221421717,52.00610969930851,0.012221325785241549,1.1602253225303398
Hurdle-AR(1)-S,14,15,-0.09471247246326676,51.646217498621525,-0.013849562902897258,1.1454297090680032
Hurdle-AR(1)-S,15,16,-0.0622372561340561,49.250350470509424,-0.009328874405584622,1.2072555031773022
Hurdle-AR(1)-S,16,17,-0.013361019518229818,49.52762384746644,-0.0038898631481738533,1.2276308103503402
Hurdle-AR(1)-S,17,18,0.03285500844869668,56.27721617963495,0.0009484161736736323,1.2111521189196621
Hurdle-AR(1)-S,18,19,-0.03524685894032327,56.27949991914731,0.006043549137235482,1.138649827150573
Hurdle-AR(1)-S,19,20,-0.031240607196713607,50.56290629581134,-0.012087911313423478,1.1952047627692506
SE-Hurdle-S,0,1,1.2149772438219737,28.16395760929775,0.3453533666522129,1.9028452027357998
SE-Hurdle-S,1,2,1.0896336855467015,42.73742353845377,0.1547889139394033,1.6909253961630355
