model,q_bin,n,q_prev_mean,delta_median,laplace_scale,gennorm_beta,gennorm_loc,gennorm_scale
Hurdle-AR(1)-S,3,20042,3.473965716697422,0.7256665561497369,2.8587535317302915,1.002315030688766,0.7276495993978512,2.8681703435185555
Hurdle-AR(1)-S,4,16665,4.551632598029316,0.3627629541635633,3.3801945309361514,0.9724463958022129,0.3397390324416054,3.2453498830336303
Hurdle-AR(1)-S,5,17183,5.692145121753368,-0.16970301625774376,3.863292325735922,0.9492369728601115,-0.2206475822339098,3.5753353727091706
Hurdle-AR(1)-S,6,16522,7.1052387861041275,-0.837299837667985,4.3063945204197625,0.971568369782655,-0.8684150354507071,4.129077703388287
Hurdle-AR(1)-S,7,13719,8.767619231127068,-1.7056090249974467,4.847946067199604,0.9845030429383728,-1.7256513317036535,4.740018079167793
Hurdle-AR(1)-S,8,13474,10.846820363847959,-2.817014873886442,5.499497009808335,1.030645088429841,-2.777834760052439,5.734605957402647
Hurdle-AR(1)-S,9,13611,14.207396647411638,-4.840792684143247,6.388335782766079,0.995572609079864,-4.852364436934687,6.347933833131302
Hurdle-AR(1)-S,10,14471,25.63733672150122,-10.965438231095343,10.147427469935694,0.959825384934639,-10.989627707883693,9.552515978951462
SE-Hurdle-S,1,11988,1.5000783328764633,0.26445691486632816,1.9246358960933732,1.119838532058012,0.3153201065419797,2.2270365128074565
SE-Hurdle-S,2,15650,2.497218808411115,0.5099313418546025,2.5187875886795523,1.1249787296620892,0.5798531512404419,2.931202672094333
SE-Hurdle-S,3,20973,3.470332057868722,0.4646607057749921,2.8852749785185345,1.037084646555725,0.48769588557146204,3.033937495962214
SE-Hurdle-S,4,17874,4.562896672573983,0.2730305907815307,3.284318444089943,1.0290912180254232,0.2957511466097608,3.4177313813939643
SE-Hurdle-S,5,18499,5.698692611108729,-0.16592092720128448,3.6930670905187744,0.9844907012948632,-0.18551617859228187,3.6108037322365685
SE-Hurdle-S,6,18231,7.112958958764079,-0.7256464727038692,4.023684053064316,0.9798627825602257,-0.7485417460091254,3.9069320942702666
SE-Hurdle-S,7,15014,8.785101361586337,-1.3515594846409908,4.54623279650809,0.9581769145715409,-1.4017574379694908,4.268491212974995
SE-Hurdle-S,8,14270,10.868623389455335,-2.416489501980063,5.0524319223165275,0.9481773737090882,-2.485665110560193,4.667693743163749
SE-Hurdle-S,9,14458,14.216063948156632,-4.086529176899116,5.914945766275912,0.9847367056436193,-4.108437234684098,5.785245262743629
SE-Hurdle-S,10,15287,25.49618591161722,-9.524070070659276,9.365356523764325,0.9175366005250449,-9.595352051012467,8.209370639010949
AR(1)-S,1,54983,1.0363375316605836,0.7883602938951937,2.089101652768121,0.6292465657342776,0.5049565480625877,0.778384816226486
AR(1)-S,2,20444,2.4614907619746917,0.624919382764956,3.100542841094034,0.6900452675474255,0.26454950461053933,1.4948872751275508
AR(1)-S,3,20946,3.45920619719556,0.2191430179649334,3.7258047160432484,0.6694013790898717,-0.24434399960389247,1.6573654591073286
AR(1)-S,4,15551,4.5410609713817855,-0.1272691321717092,4.319545193040866,0.6799615382758928,-0.6269465044614536,2.0041842300894444
AR(1)-S,5,14701,5.690037344936681,-0.6167106359185066,4.841222656422592,0.6812576866755391,-1.259256783716355,2.264502176394942
AR(1)-S,6,13725,7.105937376379241,-1.324750935755552,5.449639784457685,0.6873419051217032,-2.002950794426698,2.6035782656111683
AR(1)-S,7,11323,8.766533032670285,-2.4254396847817414,6.096982780057741,0.65960654723265,-3.2810307571752952,2.6107420588199606
AR(1)-S,8,11476,10.86573696470416,-3.452277877639382,6.888485206440334,0.6771525736754703,-4.377741586554916,3.1664445369748755
AR(1)-S,9,12651,14.277727449451767,-5.39522729231669,8.225418994557986,0.6839611047069063,-6.365046600677813,3.8790392677181202
AR(1)-S,10,20768,32.02292329099867,-12.756429645679457,15.675767234214257,0.6722771616908632,-13.099435404454244,7.053790969604988
