model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap
bootstrap,1-4,positive,1918,0.7438871379349823,0.4136986607460611,,0.23696562312227332,0.6134121272660982,0.5995112357989161,0.49282790176207225,17
bootstrap,5-7,activity,1773,-0.6503469765814185,0.8896539217180404,-0.8168358810691664,1.3233521879831296,,,,17
bootstrap,5-7,positive,1517,0.3376809168596371,0.42540847791539443,,0.3551857102212269,0.7247998280705767,0.6008072933381113,0.49410422451775665,17
bootstrap,8-20,activity,7092,-1.2340336855055727,1.0008740812988453,-0.5008660641333621,1.5514738893377376,,,,17
bootstrap,8-20,positive,6020,0.03949370637053573,0.48315172122513145,,0.4264524180915036,0.5861049049703687,0.5879073421737451,0.4671198732065033,17
bootstrap,0,activity,591,0.16490971736475957,0.698758682519563,0.17908764782442235,0.0,,,,18
bootstrap,0,positive,424,0.9796438813693122,0.46651672957117224,,0.0,0.6625483488911745,0.5712589167042151,0.47934890495405746,18
bootstrap,1-4,activity,2364,-0.3733578902612147,0.9901992473279231,-0.4056184808648151,0.8261328361076375,,,,18
bootstrap,1-4,positive,1934,0.8365245590047938,0.35294024809080093,,0.25880024956800673,0.49207947149525755,0.6077650567288563,0.4917339188904393,18
bootstrap,5-7,activity,1773,-0.9756887886460772,0.9451020702543039,-0.811806354013457,1.4998457373147476,,,,18
bootstrap,5-7,positive,1502,0.3606619132277198,0.3703057600749008,,0.4011131683980539,0.5638748210028381,0.5829682824207832,0.4748007648588659,18
bootstrap,8-20,activity,7092,-1.1774938198262743,1.0447504864544341,-0.5479728431810167,1.5299070380274005,,,,18
bootstrap,8-20,positive,6051,0.06507161570638587,0.4531393203523211,,0.44496244745193153,0.5564538859517083,0.5792391277452177,0.4601720393466585,18
bootstrap,0,activity,591,0.22107933764693533,2.0412281911239,-2.052937934204721,0.0,,,,19
bootstrap,0,positive,437,0.7330890545217769,0.5806576639811046,,0.0,0.8502349043906343,0.5693472253438672,0.4874092913760985,19
bootstrap,1-4,activity,2364,-0.15664080919324563,0.9139983121674073,-0.47710987229727614,0.7237137278879151,,,,19
bootstrap,1-4,positive,1951,0.7769455246882535,0.4085061889864615,,0.22242808795198427,0.5784677396323487,0.6199701293200487,0.5037933115812511,19
bootstrap,5-7,activity,1773,-0.5140930183693901,1.0587662506414512,-1.2395944590166819,1.3064798057955886,,,,19
bootstrap,5-7,positive,1537,0.46406679868069545,0.36228563371236344,,0.3636727964643224,0.5300971351995097,0.598243979562267,0.4871650448017098,19
bootstrap,8-20,activity,7092,-1.2023300528463035,1.004861735959142,-0.6702262828214612,1.6469601109316985,,,,19
bootstrap,8-20,positive,6085,0.06698943328414597,0.4297873420913057,,0.46847917083065643,0.4674108488164892,0.586667706464017,0.4658983749083196,19
bootstrap,0,activity,591,0.24827994080141358,1.1420107979184757,-0.7314910218498095,0.0,,,,20
bootstrap,0,positive,421,0.7313521673603718,0.5699021973732975,,0.0,0.9195349012856877,0.5603359317596744,0.4797758380501,20
bootstrap,1-4,activity,2364,-0.28058480845119227,0.878663655065503,-0.2388680889670891,0.6841289794960118,,,,20
bootstrap,1-4,positive,1910,0.9167837640296689,0.3515145709407187,,0.21457584778160255,0.5154323142762242,0.612892375620413,0.49674723868997084,20
bootstrap,5-7,activity,1773,-0.5978147865571382,0.8177799464986674,-0.38406511346287736,1.1166327371792466,,,,20
bootstrap,5-7,positive,1522,0.5013319142598042,0.3648778609503453,,0.33442040935936823,0.5508929715060095,0.5773508285575162,0.47011216907678216,20
bootstrap,8-20,activity,7092,-1.2183386275624384,0.8998274110156317,-0.6153053626724536,1.6822551574019566,,,,20
bootstrap,8-20,positive,5965,0.01313537839588097,0.4526879446646254,,0.4707685747116919,0.5310304718900609,0.5873179127501692,0.4685780732118778,20
bootstrap,0,activity,591,0.457833119462262,1.1811687356277292,-0.6957582447006352,0.0,,,,21
bootstrap,0,positive,450,0.7870143171897134,0.5757803659496243,,0.0,0.8398582699805448,0.5438667582612662,0.4633183612547997,21
bootstrap,1-4,activity,2364,-0.3698233130933437,0.8615001667438142,-0.3062576907232804,0.7941246316778712,,,,21
bootstrap,1-4,positive,1911,0.7792024545013732,0.4116369095667561,,0.22691258121244845,0.6083568750933263,0.6128693392239404,0.49947167735257003,21
bootstrap,5-7,activity,1773,-0.7621733808177986,1.0669244760791734,-1.1616556349167022,1.3886377115693376,,,,21
bootstrap,5-7,positive,1508,0.36604854642013684,0.40554435694433927,,0.35476989186155444,0.6518160855521957,0.5918531878817064,0.48083411895539124,21
bootstrap,8-20,activity,7092,-1.1148677619336023,0.9895308104236631,-0.6288179861586822,1.5056353358799013,,,,21
bootstrap,8-20,positive,5908,-0.021250328118240125,0.47866736602555504,,0.4582901225893465,0.5763027592195242,0.5877811736061166,0.4662930776264535,21
bootstrap,0,activity,591,0.19900108054298093,0.6541302314140948,0.3499727722040542,0.0,,,,22
bootstrap,0,positive,430,0.8489412106271903,0.5203559124532695,,0.0,0.838915080910839,0.5613552671538631,0.47069515513493865,22
bootstrap,1-4,activity,2364,-0.46470343755721455,0.8138237328334292,0.08953604690975733,0.7642628206298723,,,,22
