year,origin_state,destination_state,direct_probability,composed_probability,residual
5,positive 4,zero,0.02127659574468085,0.07064802387750715,-0.0493714281328263
5,positive 4,positive 1,0.028368794326241134,0.12643989467697675,-0.09807110035073562
5,positive 4,positive 2,0.14893617021276595,0.20702759612334076,-0.05809142591057481
5,positive 4,positive 3,0.2907801418439716,0.24463260481497565,0.04614753702899596
5,positive 4,positive 4,0.5106382978723404,0.3512518805071996,0.1593864173651408
6,zero,zero,0.375,0.24291530403135736,0.13208469596864264
6,zero,positive 1,0.2727272727272727,0.24732203796678592,0.025405234760486783
6,zero,positive 2,0.22727272727272727,0.2717225315242569,-0.04444980425152964
6,zero,positive 3,0.09090909090909091,0.1525581864231064,-0.061649095514015484
6,zero,positive 4,0.03409090909090909,0.08548194005449347,-0.05139103096358438
6,positive 1,zero,0.21428571428571427,0.20924925146846876,0.005036462817245513
6,positive 1,positive 1,0.30612244897959184,0.23722719454091407,0.06889525443867778
6,positive 1,positive 2,0.24489795918367346,0.2681306981738237,-0.023232738990150215
6,positive 1,positive 3,0.17346938775510204,0.1759138491133623,-0.0024444613582602637
6,positive 1,positive 4,0.061224489795918366,0.10947900670343116,-0.0482545169075128
6,positive 2,zero,0.14583333333333334,0.14352145955662138,0.0023118737767119646
6,positive 2,positive 1,0.20833333333333334,0.20914374710544312,-0.0008104137721097748
6,positive 2,positive 2,0.2916666666666667,0.257783962860822,0.03388270380584468
6,positive 2,positive 3,0.2361111111111111,0.22592326651130862,0.010187844599802487
6,positive 2,positive 4,0.11805555555555555,0.1636275639658049,-0.04557200841024936
6,positive 3,zero,0.05185185185185185,0.11619021957602609,-0.06433836772417423
6,positive 3,positive 1,0.2,0.18968990664031382,0.01031009335968619
6,positive 3,positive 2,0.26666666666666666,0.2458465872355113,0.020820079431155353
6,positive 3,positive 3,0.34074074074074073,0.2461784096803194,0.09456233106042133
6,positive 3,positive 4,0.14074074074074075,0.20209487686782945,-0.061354136127088704
6,positive 4,zero,0.023809523809523808,0.053684577638203335,-0.029875053828679526
6,positive 4,positive 1,0.05555555555555555,0.1370044334467229,-0.08144887789116734
6,positive 4,positive 2,0.19047619047619047,0.20239229266728792,-0.011916102191097455
6,positive 4,positive 3,0.21428571428571427,0.282287989660203,-0.06800227537448875
6,positive 4,positive 4,0.5158730158730159,0.3246307065875828,0.19124230928543312
7,zero,zero,0.42105263157894735,0.2872459891959001,0.13380664238304724
7,zero,positive 1,0.29473684210526313,0.2405675307650708,0.054169311340192344
7,zero,positive 2,0.2,0.2451067700963004,-0.0451067700963004
7,zero,positive 3,0.05263157894736842,0.12077077717928777,-0.06813919823191936
7,zero,positive 4,0.031578947368421054,0.10630893276344089,-0.07472998539501984
7,positive 1,zero,0.23275862068965517,0.22201664873403437,0.010741971955620794
7,positive 1,positive 1,0.27586206896551724,0.21690526786397651,0.05895680110154072
7,positive 1,positive 2,0.3017241379310345,0.25440973175576403,0.04731440617527044
7,positive 1,positive 3,0.1206896551724138,0.16044638107977494,-0.03975672590736114
7,positive 1,positive 4,0.06896551724137931,0.14622197056645012,-0.0772564533250708
7,positive 2,zero,0.12686567164179105,0.16932770581028425,-0.0424620341684932
7,positive 2,positive 1,0.1865671641791045,0.19462484648802614,-0.008057682308921649
7,positive 2,positive 2,0.34328358208955223,0.2579170529155272,0.08536652917402504
7,positive 2,positive 3,0.1865671641791045,0.18748119964190624,-0.0009140354628017489
7,positive 2,positive 4,0.15671641791044777,0.19064919514425627,-0.0339327772338085
7,positive 3,zero,0.0743801652892562,0.10403140930053344,-0.029651244011277236
7,positive 3,positive 1,0.12396694214876033,0.14731839939495586,-0.02335145724619553
7,positive 3,positive 2,0.2396694214876033,0.24275455729220782,-0.0030851358046045108
7,positive 3,positive 3,0.30578512396694213,0.22664665725830924,0.07913846670863289
7,positive 3,positive 4,0.256198347107438,0.2792489767539937,-0.023050629646555687
7,positive 4,zero,0.016,0.05343989335439096,-0.03743989335439096
7,positive 4,positive 1,0.032,0.09663854199129468,-0.06463854199129468
7,positive 4,positive 2,0.112,0.21015313147316045,-0.09815313147316045
7,positive 4,positive 3,0.24,0.22694615745954336,0.013053842540456634
7,positive 4,positive 4,0.6,0.4128222757216106,0.18717772427838936
8,zero,zero,0.47058823529411764,0.2940769644013688,0.17651127089274882
8,zero,positive 1,0.2235294117647059,0.3127901676770973,-0.08926075591239138
8,zero,positive 2,0.12941176470588237,0.1834486271799504,-0.054036862474068026
8,zero,positive 3,0.1411764705882353,0.1485115944666355,-0.007335123878400213
8,zero,positive 4,0.03529411764705882,0.06117264627494806,-0.02587852862788924
8,positive 1,zero,0.2542372881355932,0.1986869326162659,0.0555503555193273
8,positive 1,positive 1,0.2796610169491525,0.2633989269412804,0.0162620900078721
8,positive 1,positive 2,0.2457627118644068,0.20242951167591436,0.04333320018849243
8,positive 1,positive 3,0.1271186440677966,0.19586049830784735,-0.06874185424005075
8,positive 1,positive 4,0.09322033898305085,0.139624130458692,-0.04640379147564114
8,positive 2,zero,0.1232876712328767,0.17270554391647774,-0.04941787268360104
8,positive 2,positive 1,0.3150684931506849,0.23913735334027802,0.07593113981040689
8,positive 2,positive 2,0.21232876712328766,0.19481156909450692,0.01751719802878074
8,positive 2,positive 3,0.2465753424657534,0.21457270273921789,0.032002639726535526
8,positive 2,positive 4,0.10273972602739725,0.1787728309095194,-0.07603310488212214
8,positive 3,zero,0.030303030303030304,0.09447037250240913,-0.06416734219937882
8,positive 3,positive 1,0.16666666666666666,0.17437666934494478,-0.007710002678278122
8,positive 3,positive 2,0.22727272727272727,0.18314985487858382,0.04412287239414345
8,positive 3,positive 3,0.30303030303030304,0.2599412863090833,0.04308901672121973
8,positive 3,positive 4,0.2727272727272727,0.288061816964979,-0.015334544237706305
8,positive 4,zero,0.0,0.05339364904582296,-0.05339364904582296
8,positive 4,positive 1,0.06363636363636363,0.10363625842874855,-0.039999894792384916
8,positive 4,positive 2,0.08181818181818182,0.16274467618341137,-0.08092649436522956
8,positive 4,positive 3,0.22727272727272727,0.2420464661571381,-0.01477373888441083
8,positive 4,positive 4,0.6272727272727273,0.438178950184879,0.1890937770878483
9,zero,zero,0.5263157894736842,0.2965603823328512,0.22975540714083298
9,zero,positive 1,0.29473684210526313,0.28137292809534653,0.0133639140099166
9,zero,positive 2,0.1368421052631579,0.22203465173000664,-0.08519254646684873
9,zero,positive 3,0.031578947368421054,0.14068064903708338,-0.10910170166866233
9,zero,positive 4,0.010526315789473684,0.05935138880471229,-0.048825073015238606
9,positive 1,zero,0.23076923076923078,0.23051577616153107,0.0002534546076997102
9,positive 1,positive 1,0.3269230769230769,0.24947950144966605,0.07744357547341088
9,positive 1,positive 2,0.2692307692307692,0.23695856650413719,0.03227220272663203
9,positive 1,positive 3,0.15384615384615385,0.18558342295520194,-0.03173726910904809
9,positive 1,positive 4,0.019230769230769232,0.09746273292946381,-0.07823196369869458
9,positive 2,zero,0.11188811188811189,0.1786451526399902,-0.06675704075187831
9,positive 2,positive 1,0.23776223776223776,0.2135674194494877,0.024194818312750055
9,positive 2,positive 2,0.2937062937062937,0.22764694905241456,0.06605934465387914
9,positive 2,positive 3,0.24475524475524477,0.22069319838647114,0.024062046368773626
9,positive 2,positive 4,0.11188811188811189,0.15944728047163645,-0.04755916858352456
9,positive 3,zero,0.036036036036036036,0.0992392007059501,-0.06320316466991407
9,positive 3,positive 1,0.10810810810810811,0.1661474407336525,-0.05803933262554439
9,positive 3,positive 2,0.24324324324324326,0.21294186215615318,0.030301381087090073
9,positive 3,positive 3,0.3783783783783784,0.276122983487676,0.1022553948907024
9,positive 3,positive 4,0.23423423423423423,0.24554851291656823,-0.011314278682334006
9,positive 4,zero,0.014492753623188406,0.052835614867397455,-0.03834286124420905
9,positive 4,positive 1,0.057971014492753624,0.1039217157787293,-0.04595070128597568
9,positive 4,positive 2,0.10144927536231885,0.15994896199558573,-0.05849968663326688
9,positive 4,positive 3,0.2898550724637681,0.29801365085317877,-0.008158578389410642
9,positive 4,positive 4,0.5362318840579711,0.38528005650510877,0.1509518275528623
10,zero,zero,0.43478260869565216,0.2832404510505658,0.15154215764508638
10,zero,positive 1,0.2717391304347826,0.30673968425451137,-0.035000553819728775
10,zero,positive 2,0.15217391304347827,0.21409348397433164,-0.061919570930853374
