q_bin,dropout_count,dropout_probability,n,q_mean,low,high,model,stage
3,16,0.008658008658008658,1848,5.100492670665636,0.005336289473349359,0.014018281673556511,GRW-Y,1-4
4,4,0.002197802197802198,1820,6.359314130863995,0.0008549902092591598,0.005637678890952175,GRW-Y,1-4
5,3,0.002117148906139732,1417,7.765706777014453,0.0007202641369661394,0.006206334859009203,GRW-Y,1-4
6,1,0.0006613756613756613,1512,9.229925747711142,0.00011675558255105477,0.003736945226293352,GRW-Y,1-4
7,1,0.0005963029218843172,1677,11.390046843659675,0.000105267156337695,0.0033701346899754846,GRW-Y,1-4
8,0,0.0,2111,14.439485826507255,0.0,0.0018164953819709236,GRW-Y,1-4
9,0,0.0,10696,23.009377096803295,0.0,0.0003590333524189741,GRW-Y,1-4
0,539,0.1074133120765245,5018,2.301768747884825,0.09914432556484909,0.11628293920590752,Hurdle-AR(1)-S,1-4
1,211,0.12267441860465116,1720,2.8341092997651485,0.10800557097353022,0.13902501466728506,Hurdle-AR(1)-S,1-4
2,496,0.11648661343353688,4258,3.8401106664998856,0.1071944295152789,0.1264701909624038,Hurdle-AR(1)-S,1-4
3,392,0.1141193595342067,3435,5.100492670665636,0.10391453444388545,0.1251863348721075,Hurdle-AR(1)-S,1-4
4,403,0.11842491918895093,3403,6.359314130863995,0.10799662124564065,0.1297137554269936,Hurdle-AR(1)-S,1-4
5,337,0.11837021426062522,2847,7.765706777014453,0.10701471486834253,0.13075423027403227,Hurdle-AR(1)-S,1-4
6,305,0.11062749365252085,2757,9.229925747711142,0.09945613700078933,0.12288244265550095,Hurdle-AR(1)-S,1-4
7,277,0.10600841944125526,2613,11.390046843659675,0.09477746687394994,0.11839615433415068,Hurdle-AR(1)-S,1-4
8,288,0.1122369446609509,2566,14.439485826507255,0.10059836348694254,0.125034842855425,Hurdle-AR(1)-S,1-4
9,336,0.11538461538461539,2912,23.009377096803295,0.10428382088494827,0.1274988658014616,Hurdle-AR(1)-S,1-4
0,1493,0.23926282051282052,6240,2.301768747884825,0.22883960470780418,0.2500068798026293,Hurdle-AR(1)-S-P,1-4
1,235,0.11965376782077393,1964,2.8341092997651485,0.10603700636603854,0.1347555452295777,Hurdle-AR(1)-S-P,1-4
2,428,0.08315523605984068,5147,3.8401106664998856,0.07591905553472698,0.09101319879823484,Hurdle-AR(1)-S-P,1-4
3,207,0.05573505654281099,3714,5.100492670665636,0.048805519026481926,0.06358270106336805,Hurdle-AR(1)-S-P,1-4
4,164,0.04339772426567875,3779,6.359314130863995,0.03735187114324332,0.05037096663034995,Hurdle-AR(1)-S-P,1-4
5,110,0.03761969904240766,2924,7.765706777014453,0.031307448811266826,0.04514532103803103,Hurdle-AR(1)-S-P,1-4
6,79,0.0284890010818608,2773,9.229925747711142,0.02291912641725416,0.03536349222401079,Hurdle-AR(1)-S-P,1-4
7,49,0.018441851712457658,2657,11.390046843659675,0.013977854751578839,0.024296351424391953,Hurdle-AR(1)-S-P,1-4
8,34,0.013556618819776715,2508,14.439485826507255,0.009717370028150485,0.018883796542225613,Hurdle-AR(1)-S-P,1-4
9,18,0.006419400855920114,2804,23.009377096803295,0.004064442726959265,0.01012496168958617,Hurdle-AR(1)-S-P,1-4
0,690,0.2616609783845279,2637,2.301768747884825,0.24523992351060464,0.27877545098213286,SE-Hurdle-S,1-4
