repeat,fold,model,cv_nll
26,0,SE-Hurdle-S,1.1126469307986224
26,0,SE-Hurdle-T5,1.1145933284471046
26,0,Hurdle-AR(5)-S-P,1.305959845327744
26,1,SE-Hurdle-S,1.069897011826416
26,1,SE-Hurdle-T5,1.071859014440796
26,1,Hurdle-AR(5)-S-P,1.2540331007054382
26,2,SE-Hurdle-S,1.0475577348361202
26,2,SE-Hurdle-T5,1.049422159719988
26,2,Hurdle-AR(5)-S-P,1.2232085974803213
26,3,SE-Hurdle-S,1.070594376957191
26,3,SE-Hurdle-T5,1.072962649705698
26,3,Hurdle-AR(5)-S-P,1.258473560938161
26,4,SE-Hurdle-S,1.1093884944709829
26,4,SE-Hurdle-T5,1.1112554499840173
26,4,Hurdle-AR(5)-S-P,1.3150573562838832
27,0,SE-Hurdle-S,1.0657057123004428
27,0,SE-Hurdle-T5,1.0674406138832526
27,0,Hurdle-AR(5)-S-P,1.2568219430153578
27,1,SE-Hurdle-S,1.0875940379582896
27,1,SE-Hurdle-T5,1.0901946601915182
27,1,Hurdle-AR(5)-S-P,1.2845694628954418
27,2,SE-Hurdle-S,1.0702558259534107
27,2,SE-Hurdle-T5,1.073141479321867
27,2,Hurdle-AR(5)-S-P,1.2469416944114384
27,3,SE-Hurdle-S,1.091110305085852
27,3,SE-Hurdle-T5,1.0928695970768916
27,3,Hurdle-AR(5)-S-P,1.2818599959330201
27,4,SE-Hurdle-S,1.0952231141200708
27,4,SE-Hurdle-T5,1.0957719606328247
27,4,Hurdle-AR(5)-S-P,1.2845316118295302
28,0,SE-Hurdle-S,1.0598942078862632
28,0,SE-Hurdle-T5,1.0623857921260158
28,0,Hurdle-AR(5)-S-P,1.2228486347088026
28,1,SE-Hurdle-S,1.0942697059111872
28,1,SE-Hurdle-T5,1.0969093746003875
28,1,Hurdle-AR(5)-S-P,1.2888692137387816
28,2,SE-Hurdle-S,1.0571790007622879
28,2,SE-Hurdle-T5,1.0594078026046043
28,2,Hurdle-AR(5)-S-P,1.2319731368313236
28,3,SE-Hurdle-S,1.0740331843951496
28,3,SE-Hurdle-T5,1.0746298327620603
28,3,Hurdle-AR(5)-S-P,1.2705262111596787
28,4,SE-Hurdle-S,1.1262612904117408
28,4,SE-Hurdle-T5,1.1280269770290479
28,4,Hurdle-AR(5)-S-P,1.3430014639290186
29,0,SE-Hurdle-S,1.0570561479501883
29,0,SE-Hurdle-T5,1.0591689731953007
29,0,Hurdle-AR(5)-S-P,1.2471147140407375
29,1,SE-Hurdle-S,1.1324696441302575
29,1,SE-Hurdle-T5,1.1363102787715869
29,1,Hurdle-AR(5)-S-P,1.3398784254570266
29,2,SE-Hurdle-S,1.0438299837755272
29,2,SE-Hurdle-T5,1.0442772755667775
29,2,Hurdle-AR(5)-S-P,1.2175027526462572
29,3,SE-Hurdle-S,1.0999804345657953
29,3,SE-Hurdle-T5,1.1022843995779468
29,3,Hurdle-AR(5)-S-P,1.284363992982421
29,4,SE-Hurdle-S,1.0801563429996042
29,4,SE-Hurdle-T5,1.0821641585363369
29,4,Hurdle-AR(5)-S-P,1.2724199099621396
