rep,model,annual_ks_mean,cum_total_ks,cum_y5_ks,zero_years_ks,terminal_rank_abs_error,rank_curve_rmse,dropout_rmse,restart_rmse,increment_ks,gini_abs_error,top1_abs_error
11,SE-Hurdle-S,0.0629280476996213,0.077834179357022,0.08121827411167512,0.032148900169204735,0.003795493744336881,0.04948627458447114,0.021680186002048497,0.05979393854234094,0.05203045685279184,0.01771034073484956,0.011558004487889809
11,SE-Hurdle-T5,0.0686487793086778,0.08629441624365482,0.049069373942470386,0.07445008460236886,0.10111179818548105,0.07205513453680955,0.020957283311538278,0.044961925956097014,0.05575296108291039,0.02909199248918548,0.008677347654566216
11,Hurdle-AR(5)-S-P,0.09040367416001933,0.04230118443316413,0.05752961082910321,0.16412859560067683,0.1239196940283788,0.18042826746994634,0.025758253914863406,0.06343428814767701,0.06226734348561763,0.012815977819327251,0.003314776501680619
12,SE-Hurdle-S,0.06719845298525501,0.05922165820642978,0.050761421319796954,0.050761421319796954,0.042922993429732686,0.05355122662440699,0.02430157631258734,0.07754485300557025,0.057529610829103184,0.009560534714606106,0.008974262799952705
12,SE-Hurdle-T5,0.06711787930062041,0.06937394247038917,0.047377326565143825,0.04568527918781726,0.09236536197194378,0.07614668291976362,0.021413962045992878,0.05249347131534321,0.05016920473773273,0.03593824142874308,0.007943557352292893
12,Hurdle-AR(5)-S-P,0.09604383208444123,0.06260575296108291,0.06091370558375635,0.1692047377326565,0.13036996206258183,0.16853748292140733,0.02861128938101934,0.035596360251997965,0.06108291032148899,0.029555000463445724,0.00327779990549501
13,SE-Hurdle-S,0.061961163484006127,0.03722504230118443,0.030456852791878174,0.018612521150592216,0.022030482892568398,0.038821719548855244,0.019820449979083058,0.0703492856473228,0.05769881556683587,0.018247453839888572,0.004644553887878773
13,SE-Hurdle-T5,0.07203287406333092,0.08798646362098139,0.04060913705583756,0.023688663282571912,0.07041636847792165,0.07252393271498687,0.02162335241370181,0.053805854585663164,0.05583756345177665,0.0359819750109685,0.013991235830618207
13,Hurdle-AR(5)-S-P,0.1156232374506486,0.09475465313028765,0.09475465313028765,0.2131979695431472,0.23688062216901185,0.24009807823322998,0.0327190543852947,0.05899532253211994,0.06548223350253812,0.02749466628898628,0.0025590880009069353
14,SE-Hurdle-S,0.06486181613085165,0.05752961082910321,0.04060913705583756,0.023688663282571912,0.033390376968888025,0.06596395029732352,0.018264346336223203,0.05733089684486723,0.05685279187817255,0.01567319800804018,0.00578183365830489
