model,stage,equation,n,intercept,x_prev,prev_active,history,restart,sigma,laplace_scale,bootstrap,rho,max_lag
SE-Hurdle-S,5-7,activity,1773,-0.6425107384935329,1.0740640970142707,-0.847860378177398,1.1523632804443806,,,,1,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1510,0.3668751733952038,0.36523866102775226,,0.40235307952047455,0.6607599888413778,0.5925801222638438,0.48250750798369146,1,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.1547046723110024,1.0341269019152612,-0.553569823461843,1.5147472216645552,,,,1,0.6696666666666666,
SE-Hurdle-S,8-20,positive,6038,0.07496913834130514,0.4391776510463672,,0.4519016025692973,0.4889785003488685,0.5960470439366236,0.4752016515821579,1,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.2988553379579759,1.2474999358790937,-0.9999978982037774,0.0,,,,1,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,432,0.807432912006762,0.5490336388361481,,0.0,0.7383529052921183,0.5700696278672889,0.48775729057604744,1,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.4250207506730692,1.0935145016866863,-0.7015832262590673,0.8689466705409337,,,,1,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1929,0.7819045420687842,0.39365690935727404,,0.23633879563981713,0.5609093296026484,0.6058327180164551,0.4981899910415092,1,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.6202015217800398,1.0798783106111327,-0.8464029823956041,1.1151584144351452,,,,1,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,positive,1510,0.36774275941091084,0.3679296603743584,,0.393768141785013,0.6646264827329588,0.5927533287377815,0.4824373690608855,1,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,activity,7092,-1.0283822021435367,1.0587557033062018,-0.5421532817094589,1.3983495183798278,,,,1,0.6533333333333333,5.0
SE-Hurdle-T5,8-20,positive,6038,0.10804230840249907,0.4423836845501267,,0.42943929499934397,0.48852607943630083,0.5967954940357347,0.4762186449004516,1,0.6533333333333333,5.0
SE-Hurdle-S,0,activity,591,0.09015097621033985,1.2834917581529575,-0.7715086412748406,0.0,,,,2,0.6696666666666666,
SE-Hurdle-S,0,positive,423,0.8882313773675202,0.4948046076559988,,0.0,0.7973615176280625,0.6029317629300212,0.5193012746684426,2,0.6696666666666666,
SE-Hurdle-S,1-4,activity,2364,-0.47154353232442814,0.8082463956970448,-0.18234229364326657,0.883734569687974,,,,2,0.6696666666666666,
SE-Hurdle-S,1-4,positive,1897,0.7329932438299342,0.39672318965021647,,0.24452203124237548,0.5741744372895852,0.5909094899865779,0.4821517210649921,2,0.6696666666666666,
SE-Hurdle-S,5-7,activity,1773,-0.5065574978416758,1.0622245141282907,-0.8993442344657452,1.060843708316017,,,,2,0.6696666666666666,
SE-Hurdle-S,5-7,positive,1497,0.34881869364712836,0.3851206087766186,,0.3917008201286833,0.5933136145533044,0.5963609045588634,0.4884069430041102,2,0.6696666666666666,
SE-Hurdle-S,8-20,activity,7092,-1.0896568475458872,1.1457763784333899,-0.6241045875307104,1.3904273927468984,,,,2,0.6696666666666666,
SE-Hurdle-S,8-20,positive,6001,0.07521156317409128,0.45597434115096386,,0.4462351228513052,0.5355554820749431,0.5829624398812908,0.46483429009093197,2,0.6696666666666666,
SE-Hurdle-T5,0,activity,591,0.09015097621033985,1.2834917581529575,-0.7715086412748406,0.0,,,,2,0.6533333333333333,5.0
SE-Hurdle-T5,0,positive,423,0.8882313773675202,0.4948046076559988,,0.0,0.7973615176280625,0.6029317629300212,0.5193012746684426,2,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,activity,2364,-0.47172683557533457,0.807983839665959,-0.1819159433621118,0.8826556800242862,,,,2,0.6533333333333333,5.0
SE-Hurdle-T5,1-4,positive,1897,0.732846388534889,0.3966133392333004,,0.24436987468854038,0.5741735676161084,0.5908881449698336,0.48208401701394027,2,0.6533333333333333,5.0
SE-Hurdle-T5,5-7,activity,1773,-0.4872925694938697,1.0757073197639284,-0.9042810136449266,1.022264674373036,,,,2,0.6533333333333333,5.0
