model,stage,zero_run,restart_probability,n,se,low,high
Hurdle-AR(5)-S-P,1-4,3,0.5522949586155004,1329,0.013640146706859587,0.5255602710700555,0.5790296461609452
Hurdle-AR(5)-S-P,1-4,4,0.5504950495049505,505,0.022135954802108164,0.5071085780928185,0.5938815209170826
Hurdle-AR(5)-S-P,1-4,5,0.5950920245398773,163,0.03844823680360623,0.519733480404809,0.6704505686749456
Hurdle-AR(5)-S-P,5-7,1,0.5833333333333334,2916,0.009129752751696939,0.5654390179400074,0.6012276487266593
Hurdle-AR(5)-S-P,5-7,2,0.6129807692307693,1248,0.01378740093369411,0.5859574634007289,0.6400040750608097
Hurdle-AR(5)-S-P,5-7,3,0.5674676524953789,541,0.02130007922484736,0.525719497214678,0.6092158077760798
Hurdle-AR(5)-S-P,5-7,4,0.5797665369649806,257,0.030789690754112944,0.5194187430869193,0.6401143308430419
Hurdle-AR(5)-S-P,5-7,5,0.6187050359712231,139,0.04119694010037155,0.5379590333744948,0.6994510385679513
Hurdle-AR(5)-S-P,5-7,6,0.5384615384615384,156,0.039913424743290064,0.4602312259646899,0.616691850958387
Hurdle-AR(5)-S-P,8-20,1,0.5261432269197585,11590,0.004638032850449458,0.5170526825328775,0.5352337713066394
Hurdle-AR(5)-S-P,8-20,2,0.5212552453931765,5481,0.006747568970938006,0.5080300102101379,0.534480480576215
Hurdle-AR(5)-S-P,8-20,3,0.5297805642633229,2552,0.009880023185569829,0.510415718819606,0.5491454097070397
Hurdle-AR(5)-S-P,8-20,4,0.5353448275862069,1160,0.014643780107270367,0.5066430185759571,0.5640466365964568
Hurdle-AR(5)-S-P,8-20,5,0.5155642023346303,514,0.02204336703775669,0.47235920294062717,0.5587692017286334
Hurdle-AR(5)-S-P,8-20,6,0.5,460,0.023312620206007845,0.4543072643962246,0.5456927356037754
SE-Hurdle-S,0,1,0.5429923744412306,3803,0.008077843333222914,0.5271598015081137,0.5588249473743475
SE-Hurdle-S,1-4,1,0.6704545454545454,3784,0.0076412915226908755,0.6554776140700713,0.6854314768390195
SE-Hurdle-S,1-4,2,0.4414381022979985,2698,0.009559817221795431,0.4227008605432795,0.46017534405271754
SE-Hurdle-S,1-4,3,0.3977859778597786,1355,0.01329629123657835,0.371725247036085,0.4238467086834722
SE-Hurdle-S,1-4,4,0.40990371389270974,727,0.018240433766081095,0.3741524637111908,0.44565496407422867
SE-Hurdle-S,1-4,5,0.3802083333333333,384,0.02477239919692747,0.33165443090735547,0.42876223575931116
SE-Hurdle-S,5-7,1,0.7167900272691858,2567,0.008892775199595224,0.6993601878779792,0.7342198666603925
SE-Hurdle-S,5-7,2,0.5705045278137129,773,0.017804061906913474,0.5356085664761625,0.6054004891512632
SE-Hurdle-S,5-7,3,0.46701846965699206,379,0.025627338359425433,0.4167888864725182,0.5172480528414659
SE-Hurdle-S,5-7,4,0.44206008583690987,233,0.03253541921712738,0.3782906641713402,0.5058295075024796
SE-Hurdle-S,5-7,5,0.4405594405594406,143,0.041515589783341564,0.3591888845840911,0.52192999653479
SE-Hurdle-S,5-7,6,0.3160621761658031,579,0.01932214301376677,0.27819077585882024,0.353933576472786
SE-Hurdle-S,8-20,1,0.6317864725508038,9891,0.004849700626166852,0.6222810593235167,0.6412918857780908
SE-Hurdle-S,8-20,2,0.461864406779661,3540,0.008379179141628085,0.44544121566206996,0.47828759789725206
SE-Hurdle-S,8-20,3,0.3661588683351469,1838,0.011237047954058116,0.34413425434519296,0.3881834823251008
SE-Hurdle-S,8-20,4,0.3090909090909091,1100,0.013933403911211634,0.2817814374249343,0.3364003807568839
